Cake_Flavor,Flour_Quantity (g),Sugar_Content (g),Butter_Quantity (g),Egg_Count,Milk_Quantity (ml),Oven_Temperature (°C),Baking_Time (min),Mixing_Time (min),Cooling_Time (min),Decoration_Time (min),Oven_Type,Frosting_Type,Ingredient_Source,Production_Cost (₹),Temperature_Humidity (%),Ingredient_Quality_Score,Baker_Experience (years),Customer_Rating,Production_Date,Cake_Quality
Strawberry,288.1 g,203.6 g,,3.0,236.2,204.7 °C,28.7,12.4,,17.4,Electric,Fondant,Local,268.4,52.6 %,7.6,4,4.8,2023-04-30,Good
Chocolate,333.4 g,184.6 g,130.2,2.0,169.4,180.7 °C,40.7,8.1,11.2,11.1,Electric,Buttercream,Local,436.2,69.4 %,8.4,4,4.0,2024-02-15,Good
White Forest,279.9 g,192.6 g,115.1,2.0,193.6,209.9 °C,21.4,7.7,17.6,9.3,Electric,Whipped Cream,Imported,235.6,54.9 %,3.8,13,4.6,2023-08-30,Poor
Black Forest,269.8 g,213.8 g,155.1,4.0,195.7,215.6 °C,38.1,12.2,18.3,4.2,Convection,Ganache,Mixed,321.5,48.5 %,6.0,12,5.0,2024-01-13,Average
Vanilla,299.5 g,219.1 g,,3.0,210.8,178.5 °C,32.4,13.1,14.1,11.1,Electric,Buttercream,Imported,345.6,58.4 %,8.3,5,3.0,2024-02-06,Good
Chocolate,251.8 g,176.0 g,127.0,4.0,156.2,237.4 °C,21.9,14.5,10.4,3.0,Electric,Ganache,Local,333.9,56.4 %,9.3,5,4.5,2024-06-19,Excellent
White Forest,282.8 g,184.0 g,182.9,1.0,193.4,191.5 °C,37.2,10.4,7.6,0.0,Electric,Fondant,Imported,336.4,47.9 %,6.5,3,3.2,2024-03-18,Average
Butterscotch,243.6 g,173.3 g,146.2,4.0,280.2,204.3 °C,32.8,11.3,18.6,8.0,Gas,Whipped Cream,Imported,453.6,53.6 %,8.9,6,4.8,2025-07-14,Good
Chocolate,280.8 g,199.7 g,125.3,3.0,181.4,211.6 °C,38.3,11.2,10.0,0.0,Gas,Fondant,Local,466.9,47.0 %,9.7,5,2.8,2023-07-05,Excellent
Vanilla,273.6 g,216.3 g,120.6,3.0,193.8,188.5 °C,30.9,3.6,9.6,8.5,Convection,Ganache,Local,320.4,59.6 %,6.0,8,2.7,2024-04-15,Average
Chocolate,253.6 g,190.1 g,160.2,3.0,191.1,188.1 °C,23.4,13.6,11.6,15.5,Electric,Whipped Cream,Local,403.0,53.3 %,8.3,13,3.9,2023-03-20,Good
Strawberry,283.7 g,183.6 g,158.3,4.0,197.5,191.9 °C,33.8,12.5,16.7,17.8,Gas,Buttercream,Local,578.6,58.3 %,9.9,4,3.9,2023-12-17,Excellent
Chocolate,283.5 g,189.1 g,129.7,2.0,147.2,206.0 °C,28.0,11.1,,14.3,Electric,Fondant,Imported,225.1,51.1 %,5.0,4,3.0,2025-10-12,Average
Vanilla,326.0 g,266.9 g,119.8,4.0,268.3,208.2 °C,20.1,10.9,13.8,15.0,Convection,Buttercream,Imported,743.6,55.6 %,8.4,6,2.9,2024-09-14,Good
Black Forest,234.5 g,225.2 g,146.0,5.0,181.5,,41.8,10.4,11.7,8.4,Electric,Buttercream,Mixed,315.3,57.5 %,5.9,5,3.6,2023-03-19,Average
Strawberry,275.4 g,212.2 g,150.7,2.0,197.1,221.4 °C,30.1,16.4,17.3,6.2,Electric,Ganache,Local,338.9,55.1 %,8.1,2,4.6,2025-08-12,Good
,254.7 g,202.3 g,131.8,3.8,181.1,221.1 °C,33.9,4.6,9.5,12.5,Gas,Ganache,Local,383.9,52.8 %,8.3,8,5.0,2025-01-15,Good
Red Velvet,311.8 g,195.2 g,121.6,3.8,213.0,213.8 °C,20.0,8.6,,14.0,Electric,Whipped Cream,Local,574.0,48.1 %,6.9,3,2.5,2023-02-18,Average
Strawberry,306.8 g,179.8 g,138.7,3.0,163.5,212.3 °C,31.6,10.1,15.5,12.0,Gas,Buttercream,Mixed,462.5,46.8 %,6.1,10,3.5,2023-03-17,Average
Chocolate,296.6 g,177.6 g,147.7,2.0,143.9,192.2 °C,40.6,13.6,21.5,10.0,Electric,Fondant,Local,544.0,48.7 %,7.7,1,5.0,2023-01-17,Good
,256.3 g,185.1 g,130.0,3.0,174.6,190.1 °C,20.0,11.1,18.5,3.5,Electric,Buttercream,Imported,524.2,44.4 %,7.0,2,4.3,2024-08-30,Good
Chocolate Truffle,312.5 g,179.1 g,143.4,2.0,194.7,178.0 °C,33.9,8.0,24.5,0.0,Gas,Whipped Cream,Mixed,245.1,63.7 %,8.7,8,4.4,2024-04-20,Good
Chocolate,236.1 g,184.4 g,145.5,2.0,167.8,224.8 °C,29.3,7.5,12.7,10.1,Electric,Fondant,Local,398.8,53.9 %,8.9,3,3.8,2025-04-13,Good
Black Forest,231.8 g,193.5 g,165.3,4.0,158.9,199.0 °C,40.9,10.6,16.1,16.1,Electric,Fondant,Imported,266.4,48.1 %,9.0,7,5.0,2024-05-14,Excellent
Chocolate Truffle,241.8 g,,131.0,3.0,190.0,203.8 °C,31.2,8.9,5.9,4.4,Electric,Fondant,Imported,294.9,52.6 %,5.7,12,4.2,2023-06-25,Average
Vanilla,276.8 g,184.2 g,121.2,3.0,152.5,166.3 °C,38.7,16.3,14.9,11.8,Electric,Buttercream,Local,207.2,44.3 %,9.0,7,4.5,2025-03-15,Excellent
Vanilla,303.5 g,206.4 g,137.0,2.0,214.5,188.7 °C,40.0,10.7,13.9,12.6,Gas,Ganache,Imported,301.2,48.3 %,8.0,3,3.8,2025-06-11,Good
Strawberry,210.8 g,191.8 g,183.1,2.0,168.8,215.7 °C,32.3,7.9,19.5,12.0,Gas,Buttercream,Local,351.4,56.1 %,9.2,9,3.0,2023-06-30,Excellent
Chocolate Truffle,333.3 g,200.0 g,114.7,3.8,195.4,203.7 °C,38.9,15.6,,5.2,Gas,Ganache,Local,233.8,63.9 %,7.4,10,3.3,2024-05-06,Good
Butterscotch,282.5 g,182.3 g,110.1,3.0,147.1,188.6 °C,33.0,7.1,16.8,1.4,Electric,Ganache,Imported,359.1,50.4 %,9.3,8,4.0,2024-07-21,Excellent
White Forest,235.3 g,211.3 g,136.3,4.0,231.4,196.4 °C,37.7,10.3,12.5,5.3,Electric,Whipped Cream,Imported,362.9,62.3 %,7.3,7,4.3,2024-07-15,Good
Chocolate,281.4 g,185.6 g,131.7,2.0,194.3,238.8 °C,27.4,8.1,19.9,10.5,Gas,Buttercream,Mixed,342.5,54.3 %,8.3,9,3.9,2023-04-29,Good
Black Forest,322.0 g,238.9 g,134.5,4.0,199.7,194.7 °C,27.4,7.9,17.0,6.3,Electric,Whipped Cream,Imported,311.2,55.0 %,7.9,8,3.8,2023-07-29,Good
Vanilla,300.3 g,191.1 g,133.9,4.0,144.2,200.2 °C,25.7,11.0,17.8,9.0,Electric,Fondant,Imported,210.3,46.5 %,6.9,6,4.4,2025-09-08,Average
Red Velvet,322.3 g,193.6 g,161.3,2.0,156.9,198.2 °C,37.1,12.8,15.1,8.8,Electric,Fondant,Local,277.1,53.1 %,7.9,8,3.8,2024-09-04,Good
Chocolate,239.7 g,208.7 g,137.4,4.0,184.8,201.7 °C,44.7,12.0,12.7,8.3,Gas,Fondant,Imported,316.0,61.2 %,7.0,3,4.0,2025-07-15,Good
Chocolate,264.7 g,214.4 g,156.3,5.0,148.9,220.5 °C,42.7,7.6,16.6,10.8,Gas,Buttercream,Imported,318.1,51.0 %,5.3,6,4.3,2025-04-03,Average
Pineapple,250.4 g,217.3 g,108.9,2.0,160.1,252.8 °C,33.1,13.7,13.2,5.0,Electric,Fondant,Local,306.7,55.8 %,7.8,7,4.2,2025-06-03,Good
Red Velvet,354.6 g,245.0 g,129.3,3.0,205.3,226.6 °C,33.7,11.4,14.0,12.9,Gas,Whipped Cream,Local,337.8,52.1 %,6.7,4,4.5,2024-12-15,Average
Vanilla,302.0 g,210.5 g,125.3,2.5,160.7,202.1 °C,41.6,3.0,17.0,5.0,Electric,Ganache,Mixed,252.3,49.2 %,6.7,6,5.0,2023-07-07,Average
Vanilla,431.3 g,194.1 g,110.3,4.0,190.9,220.3 °C,45.5,12.3,23.1,11.0,Gas,Fondant,Local,329.8,57.2 %,8.5,3,4.9,2023-03-17,Good
Pineapple,263.0 g,185.7 g,140.2,3.0,155.0,178.5 °C,20.0,13.5,15.8,7.1,Gas,Whipped Cream,Imported,301.6,44.5 %,6.5,6,3.9,2025-06-26,Average
White Forest,255.7 g,192.8 g,136.4,1.0,199.2,198.0 °C,30.9,10.4,14.3,6.7,Electric,Ganache,Local,331.8,56.9 %,7.2,4,4.6,2023-02-14,Good
Vanilla,273.2 g,234.6 g,130.3,3.0,148.0,188.1 °C,36.2,11.7,19.3,9.7,Electric,Ganache,Local,456.9,56.4 %,8.9,2,4.2,2023-12-08,Good
Chocolate,336.1 g,173.3 g,135.9,3.0,199.0,189.9 °C,34.7,15.7,13.0,8.9,Electric,Fondant,Mixed,267.5,53.9 %,7.5,12,3.9,2023-01-12,Good
Vanilla,266.1 g,181.1 g,140.2,3.0,275.2,,34.4,3.0,16.6,11.0,Gas,Ganache,Local,473.3,46.9 %,6.9,7,2.9,2024-08-17,Average
Chocolate Truffle,282.3 g,191.2 g,161.5,3.8,162.6,224.1 °C,50.2,11.8,22.2,11.6,Convection,Buttercream,Mixed,560.6,52.9 %,7.3,5,5.0,2024-05-21,Good
Strawberry,281.3 g,180.9 g,151.9,4.0,159.2,180.3 °C,28.3,7.3,16.7,0.1,Electric,Fondant,Local,291.8,52.3 %,7.6,2,3.9,2024-12-29,Good
Strawberry,279.3 g,187.8 g,144.8,2.0,221.5,195.5 °C,30.1,13.4,19.9,11.9,Gas,Buttercream,Imported,323.3,58.2 %,8.2,3,4.7,2025-09-28,Good
Strawberry,257.7 g,246.2 g,208.9,3.0,180.4,188.8 °C,27.3,9.1,14.2,11.9,Gas,Whipped Cream,Mixed,373.1,48.3 %,7.3,2,4.2,2025-03-22,Good
Vanilla,273.3 g,189.8 g,126.7,2.0,146.9,209.8 °C,22.3,11.2,13.3,10.1,Electric,Ganache,Local,337.1,44.2 %,6.8,7,4.0,2024-06-02,Average
Pineapple,271.9 g,204.4 g,118.7,3.0,189.7,218.6 °C,29.7,5.2,,13.8,Electric,Fondant,Imported,351.2,58.9 %,5.4,4,4.9,2024-04-30,Average
Red Velvet,277.7 g,170.1 g,166.1,3.0,185.4,246.6 °C,27.4,12.4,14.5,11.6,Electric,Ganache,Mixed,203.4,54.0 %,7.2,2,4.3,2024-10-18,Good
Chocolate,315.1 g,177.1 g,189.9,2.0,159.9,220.4 °C,32.6,6.4,14.8,3.7,Electric,Buttercream,Mixed,310.8,50.2 %,6.9,4,4.1,2023-04-20,Average
Chocolate,357.0 g,217.7 g,127.8,4.0,158.9,219.3 °C,42.0,9.0,12.2,17.8,Electric,Fondant,Mixed,243.1,54.6 %,6.7,7,4.4,2024-06-19,Average
Strawberry,252.6 g,241.1 g,172.5,2.0,209.9,184.2 °C,29.5,13.7,13.0,12.2,Electric,Ganache,Mixed,276.5,57.5 %,5.4,8,4.7,2023-04-11,Average
Chocolate Truffle,265.3 g,200.1 g,129.3,3.0,151.1,188.4 °C,41.7,12.1,13.5,3.6,Electric,Whipped Cream,Mixed,447.7,53.7 %,7.9,2,3.3,2025-08-13,Good
Vanilla,253.0 g,189.6 g,,2.0,142.5,199.2 °C,42.4,9.1,18.0,7.1,Gas,Buttercream,Imported,357.2,46.4 %,8.7,11,4.1,2024-07-03,Good
Chocolate Truffle,284.5 g,206.4 g,151.8,2.5,156.3,unknown,34.2,5.6,17.6,7.6,Convection,Fondant,Local,384.1,47.9 %,7.3,8,3.9,2023-10-07,Good
White Forest,261.0 g,161.1 g,127.8,2.0,209.7,199.5 °C,39.0,9.5,,12.1,Gas,Buttercream,Imported,306.7,60.7 %,8.0,10,2.6,2025-04-08,Good
Chocolate,286.4 g,200.3 g,189.1,2.0,170.3,225.5 °C,,8.4,9.5,13.9,Electric,Whipped Cream,Imported,291.7,52.5 %,9.4,3,4.1,2024-02-26,Excellent
Chocolate,322.5 g,177.8 g,193.7,4.0,161.8,192.0 °C,32.1,8.4,16.5,10.7,Gas,Ganache,Imported,452.0,56.8 %,7.8,3,3.7,2025-04-04,Good
Chocolate,217.5 g,213.9 g,122.6,2.0,176.1,197.9 °C,33.3,7.7,12.8,12.5,Electric,Fondant,Local,298.2,49.8 %,9.7,4,4.2,2023-11-26,Excellent
White Forest,296.0 g,164.7 g,142.1,2.0,195.0,197.9 °C,37.9,8.8,13.9,12.0,Convection,Buttercream,Local,413.6,47.4 %,6.8,15,3.5,2023-03-19,Average
Chocolate,263.3 g,184.1 g,158.8,3.0,240.3,190.9 °C,38.7,9.3,10.9,0.0,Electric,Fondant,Local,457.4,52.3 %,8.0,1,3.9,2024-08-01,Good
Vanilla,294.8 g,194.6 g,113.6,1.0,190.1,210.2 °C,34.5,15.8,17.0,5.2,Electric,Fondant,Imported,412.3,51.9 %,6.2,11,4.2,2024-02-04,Average
Red Velvet,251.1 g,182.0 g,138.7,2.0,263.2,180.8 °C,41.0,6.7,22.6,0.0,Gas,Whipped Cream,Local,387.2,68.5 %,8.2,8,3.9,2023-09-18,Good
White Forest,327.0 g,188.4 g,115.7,1.0,204.3,175.0 °C,33.5,13.4,11.6,6.1,Electric,Fondant,Mixed,257.9,47.8 %,7.3,13,3.7,2024-03-03,Good
Chocolate,313.8 g,216.9 g,152.5,2.0,169.2,194.3 °C,39.4,13.7,7.8,8.8,Gas,Fondant,Local,229.4,50.1 %,9.6,12,4.7,2023-03-05,Excellent
Vanilla,299.1 g,195.0 g,139.9,3.0,210.8,207.6 °C,38.1,3.2,6.5,3.5,Electric,Buttercream,Local,355.9,44.5 %,8.0,4,4.3,2024-07-31,Good
Red Velvet,308.5 g,179.5 g,131.8,3.0,200.6,187.3 °C,30.0,7.5,20.3,8.1,Electric,Ganache,Local,439.1,56.0 %,7.6,9,4.0,2024-08-30,Good
Strawberry,255.1 g,217.9 g,116.5,2.0,222.5,248.3 °C,46.0,9.7,8.3,11.9,Gas,Whipped Cream,Local,313.5,60.4 %,8.7,8,4.3,2025-03-10,Good
Pineapple,258.6 g,200.7 g,128.3,1.0,204.5,198.2 °C,42.5,10.4,22.5,11.0,Electric,Whipped Cream,Local,268.5,68.3 %,6.3,13,4.4,2025-09-04,Average
Chocolate,306.7 g,201.7 g,149.0,1.0,182.0,199.5 °C,26.6,5.5,10.8,7.5,Electric,Fondant,Local,328.3,56.6 %,8.2,3,3.6,2024-04-21,Good
Pineapple,254.5 g,180.0 g,137.5,1.0,164.0,184.2 °C,40.3,9.4,15.6,4.6,Electric,Ganache,Imported,389.0,54.5 %,4.6,7,3.2,2024-02-05,Poor
Black Forest,339.6 g,161.5 g,166.7,1.0,182.7,209.1 °C,32.4,11.3,18.4,13.3,Electric,Ganache,Local,672.5,52.7 %,6.5,2,3.5,2023-05-31,Average
Strawberry,267.4 g,179.8 g,164.8,1.0,140.2,216.8 °C,,5.5,15.6,13.4,Electric,Ganache,Local,416.7,61.2 %,6.5,6,3.0,2024-12-20,Average
Black Forest,296.4 g,178.4 g,163.5,1.0,173.2,201.5 °C,43.7,9.8,14.4,16.3,Electric,Fondant,Local,273.2,63.2 %,7.2,9,2.7,2025-08-25,Good
Vanilla,377.6 g,184.4 g,129.2,3.0,146.7,203.4 °C,39.4,7.3,11.9,6.2,Electric,Whipped Cream,Local,320.2,48.4 %,6.3,1,3.6,2023-10-26,Average
Chocolate,256.2 g,180.8 g,144.1,,193.9,202.2 °C,44.4,9.4,17.2,0.8,Electric,Ganache,Local,485.5,50.8 %,5.5,9,4.6,2023-05-25,Average
Black Forest,280.3 g,197.8 g,123.3,4.0,208.5,185.5 °C,39.5,7.6,,12.1,Electric,Ganache,Mixed,284.6,50.4 %,6.8,5,3.4,2023-08-17,Average
,320.2 g,216.2 g,119.8,2.0,188.8,225.8 °C,31.7,8.8,15.9,0.5,Electric,Whipped Cream,Mixed,275.9,60.1 %,7.4,5,5.0,2023-03-04,Good
Black Forest,315.5 g,221.8 g,166.4,2.0,173.2,193.5 °C,20.0,8.8,14.6,9.8,Electric,Ganache,Imported,331.7,55.3 %,6.8,9,4.0,2024-12-31,Average
Vanilla,267.3 g,215.0 g,120.6,1.0,169.6,232.5 °C,25.7,15.0,14.4,4.3,Electric,Whipped Cream,Imported,255.0,49.3 %,9.3,3,3.7,2024-12-06,Excellent
Chocolate Truffle,261.6 g,180.0 g,119.4,2.0,224.3,181.8 °C,30.2,16.3,5.9,9.2,Electric,Fondant,Mixed,303.4,52.5 %,7.6,9,3.8,2025-08-12,Good
Strawberry,270.2 g,,140.2,3.0,214.8,214.4 °C,38.9,16.2,16.8,2.8,Electric,Ganache,Local,212.6,46.3 %,6.5,9,4.1,2023-12-16,Average
Chocolate,339.8 g,237.4 g,133.4,3.8,149.4,201.3 °C,24.8,3.1,18.9,6.8,Electric,Buttercream,Local,252.5,56.6 %,6.4,2,5.0,2024-07-01,Average
Red Velvet,268.8 g,171.0 g,134.9,4.0,186.7,199.8 °C,23.9,11.9,12.8,6.2,Electric,Ganache,Mixed,324.4,48.4 %,8.8,7,3.0,2024-06-21,Good
White Forest,280.6 g,230.1 g,208.8,3.0,189.2,189.6 °C,31.5,9.2,18.8,10.7,Gas,Whipped Cream,Local,325.9,60.1 %,7.6,1,4.3,2024-04-14,Good
Pineapple,264.3 g,178.5 g,122.9,3.0,171.9,209.8 °C,32.4,6.8,,16.5,Electric,Ganache,Imported,299.9,58.1 %,8.4,2,4.5,2023-07-24,Good
Red Velvet,304.7 g,201.7 g,148.4,2.0,142.6,207.4 °C,35.6,14.4,19.0,11.7,Gas,Buttercream,Local,382.0,52.0 %,9.9,9,3.8,2025-01-08,Excellent
Chocolate Truffle,283.4 g,204.4 g,139.9,3.0,129.5,234.0 °C,45.0,9.6,,7.8,Electric,Whipped Cream,Mixed,337.8,51.4 %,5.7,2,3.0,,Average
Vanilla,248.4 g,,161.4,3.0,183.9,209.8 °C,30.8,12.8,13.1,15.5,Electric,Whipped Cream,Imported,307.8,48.6 %,6.9,10,3.6,2023-09-24,Average
Vanilla,249.3 g,263.4 g,125.7,3.0,136.0,192.1 °C,33.6,13.0,17.4,11.8,Electric,Buttercream,Local,340.4,51.5 %,8.7,9,5.0,2024-06-18,Good
Chocolate Truffle,226.7 g,,134.2,3.0,162.9,191.8 °C,41.8,12.0,12.6,0.0,Convection,Fondant,Mixed,219.3,45.8 %,8.5,10,2.6,2025-02-25,Good
,252.8 g,,,4.0,202.5,203.6 °C,27.5,9.0,5.0,7.0,Gas,Ganache,Local,188.3,61.6 %,6.5,2,2.8,2023-03-12,Average
Black Forest,308.5 g,203.1 g,117.9,3.0,192.4,226.8 °C,44.1,9.0,19.0,7.2,Gas,Ganache,Local,375.2,62.1 %,8.4,13,3.9,2024-06-28,Good
Pineapple,333.3 g,192.1 g,114.3,3.0,160.9,204.7 °C,26.9,10.3,13.6,8.0,Gas,Buttercream,Imported,328.7,52.6 %,7.5,12,3.1,2024-02-28,Good
Chocolate,303.9 g,207.8 g,137.8,2.0,211.0,216.7 °C,31.4,14.4,14.1,8.4,Electric,Fondant,Mixed,272.8,55.6 %,7.6,11,4.0,2023-09-23,Good
Chocolate Truffle,298.5 g,216.3 g,171.2,2.0,196.4,203.1 °C,29.0,13.1,17.8,8.5,Convection,Whipped Cream,Imported,213.5,50.5 %,9.8,3,3.7,2023-05-14,Excellent
Vanilla,273.7 g,194.8 g,132.1,1.0,163.8,174.5 °C,47.3,9.3,15.9,14.7,Convection,Buttercream,Imported,299.4,55.8 %,6.7,5,4.3,2023-09-24,Average
,307.7 g,205.0 g,134.4,2.0,239.6,,35.7,9.7,16.4,18.3,Convection,Fondant,Mixed,347.4,49.7 %,9.0,10,4.3,2024-02-13,Excellent
Chocolate,288.1 g,198.4 g,165.4,3.0,195.0,195.3 °C,33.3,15.4,11.9,9.8,Electric,Ganache,Local,309.1,45.7 %,6.2,7,4.2,2023-10-29,Average
Vanilla,359.6 g,245.6 g,135.5,3.0,156.2,221.1 °C,25.3,6.3,23.0,10.1,Electric,Whipped Cream,Mixed,210.7,59.7 %,6.5,8,4.1,2023-10-09,Average
,274.6 g,188.5 g,155.2,3.0,129.5,230.7 °C,44.1,4.4,17.4,16.3,Electric,Ganache,Mixed,403.7,54.2 %,7.5,1,3.6,2025-04-28,Good
Vanilla,334.3 g,183.2 g,227.0,4.0,185.7,234.4 °C,41.4,7.4,20.6,1.5,Electric,Fondant,Local,269.0,50.6 %,9.6,3,3.5,2023-02-24,Excellent
Chocolate,312.0 g,216.2 g,128.6,2.0,163.4,195.6 °C,29.4,16.3,12.6,5.3,Electric,Buttercream,Mixed,190.0,53.6 %,8.6,2,2.7,2024-01-03,Good
Vanilla,306.0 g,179.5 g,135.0,3.0,179.0,191.2 °C,35.1,6.4,13.8,9.2,Convection,Buttercream,Local,340.6,52.9 %,5.9,9,3.2,2024-06-06,Average
Strawberry,226.4 g,203.9 g,146.2,,171.0,193.4 °C,38.0,7.2,13.2,9.0,Electric,Fondant,Imported,346.8,50.9 %,7.7,11,3.8,2024-04-17,Good
Red Velvet,314.5 g,192.2 g,176.2,2.0,127.1,196.5 °C,37.5,10.9,12.1,13.1,Gas,Buttercream,Local,236.0,53.0 %,6.2,1,3.8,2023-03-17,Average
Vanilla,273.7 g,,136.1,2.0,169.4,201.0 °C,31.0,10.5,11.9,7.7,Electric,Buttercream,Local,240.4,52.4 %,7.7,8,4.0,2025-01-23,Good
White Forest,263.8 g,272.9 g,154.0,3.0,148.4,185.2 °C,47.0,13.5,19.3,11.0,Convection,Buttercream,Local,405.5,49.1 %,8.7,10,5.0,2023-09-30,Good
,237.1 g,226.5 g,145.2,5.0,163.3,198.6 °C,33.1,13.8,13.3,18.4,Electric,Buttercream,Local,327.3,58.6 %,5.5,8,3.5,2023-04-11,Average
White Forest,277.7 g,220.2 g,136.9,1.0,161.4,173.0 °C,33.4,8.7,17.1,13.7,Convection,Ganache,Mixed,381.2,54.8 %,7.8,2,4.7,2024-05-22,Good
Vanilla,279.1 g,207.2 g,131.0,2.5,180.3,243.4 °C,42.7,11.2,10.5,22.4,Electric,Whipped Cream,Mixed,293.3,50.6 %,8.7,5,4.1,2023-06-13,Good
White Forest,241.1 g,183.1 g,128.1,3.0,188.3,194.7 °C,40.8,10.6,11.8,8.4,Gas,Whipped Cream,Imported,351.5,54.7 %,6.6,4,4.0,2025-08-15,Average
Chocolate,237.3 g,201.0 g,250.4,4.0,194.0,191.9 °C,42.2,7.6,20.6,9.4,Gas,Whipped Cream,Local,424.3,62.3 %,8.0,12,5.0,2023-09-10,Good
Chocolate,295.8 g,208.5 g,116.8,4.0,123.9,207.5 °C,,11.6,17.6,12.9,Gas,Buttercream,Imported,327.8,63.6 %,7.5,11,4.4,2024-11-25,Good
Vanilla,311.9 g,199.6 g,117.8,2.0,234.7,,29.6,10.4,14.7,10.1,Electric,Ganache,Mixed,293.4,65.6 %,7.7,10,3.3,2023-06-30,Good
Pineapple,284.6 g,197.4 g,143.0,1.0,137.2,173.1 °C,36.1,11.0,12.9,9.0,Electric,Fondant,Imported,289.0,60.5 %,7.6,4,4.5,2023-12-21,Good
Chocolate,324.8 g,188.0 g,142.2,2.0,177.9,188.3 °C,28.5,8.1,11.4,6.9,Electric,Fondant,Local,435.3,51.1 %,6.3,1,2.9,2023-10-18,Average
Chocolate,275.0 g,201.2 g,146.9,2.0,154.9,,30.7,13.8,16.7,11.1,Gas,Fondant,Local,308.6,48.9 %,6.8,7,4.5,2023-04-04,Average
Chocolate,276.1 g,185.8 g,124.5,2.5,188.1,,28.6,6.8,8.7,7.5,Gas,Buttercream,Local,308.7,49.7 %,5.6,6,4.1,2023-11-20,Average
Pineapple,250.6 g,211.5 g,122.5,1.0,133.5,182.2 °C,34.3,7.5,19.8,10.9,Electric,Ganache,Local,331.9,52.6 %,6.9,2,3.0,2025-04-20,Average
Black Forest,235.4 g,166.4 g,,5.0,241.1,220.2 °C,41.4,16.1,20.6,6.9,Electric,Ganache,Mixed,338.4,54.9 %,6.7,3,3.6,2024-10-18,Average
Vanilla,362.5 g,230.5 g,158.6,3.0,167.4,211.5 °C,32.1,8.7,14.4,13.1,Gas,Whipped Cream,Local,230.3,45.5 %,6.2,8,4.1,2024-10-03,Average
Strawberry,323.9 g,174.3 g,122.6,2.0,195.5,186.7 °C,36.2,10.2,14.8,6.6,Electric,Whipped Cream,Mixed,298.9,60.4 %,7.2,4,4.5,2023-01-28,Good
Red Velvet,239.1 g,177.5 g,141.1,2.0,155.6,198.2 °C,27.8,9.5,17.1,7.1,Electric,Ganache,Local,366.1,46.1 %,6.3,1,3.6,2023-10-26,Average
Black Forest,283.4 g,204.3 g,129.6,3.0,246.8,176.3 °C,29.0,6.5,16.1,2.9,Electric,Buttercream,Local,403.6,58.8 %,7.3,6,3.3,2025-01-27,Good
Chocolate,274.6 g,207.4 g,117.0,3.0,142.5,,24.0,6.0,,16.6,Gas,Whipped Cream,Imported,291.9,47.7 %,6.7,14,4.2,2024-06-25,Average
Chocolate Truffle,269.0 g,257.0 g,119.5,2.0,120.4,228.1 °C,32.2,8.6,12.1,8.2,Electric,Ganache,Local,497.7,51.0 %,8.2,7,3.6,2023-08-27,Good
Vanilla,264.8 g,201.8 g,158.7,5.0,231.9,193.1 °C,33.7,8.9,19.6,11.5,Electric,Fondant,Local,371.9,57.6 %,6.6,7,4.1,2023-11-14,Average
Black Forest,291.7 g,194.7 g,128.2,2.0,146.7,198.2 °C,34.6,7.5,19.1,1.5,Gas,Fondant,Imported,402.6,48.7 %,6.6,11,3.5,2024-11-12,Average
Chocolate,309.6 g,199.4 g,168.2,3.0,176.1,205.3 °C,28.9,11.3,18.4,13.4,Electric,Fondant,Local,350.3,50.3 %,6.0,4,5.0,2023-08-28,Average
Vanilla,292.5 g,238.3 g,137.5,3.0,241.5,194.8 °C,37.5,12.8,11.0,0.0,Electric,Ganache,Local,429.7,62.8 %,6.1,3,3.5,2023-03-20,Average
Vanilla,273.9 g,272.3 g,118.6,4.0,166.1,172.7 °C,33.3,10.9,9.9,17.9,Electric,Buttercream,Local,365.1,50.9 %,5.6,3,5.0,2023-10-02,Average
Strawberry,272.7 g,191.9 g,148.0,1.0,186.9,217.9 °C,28.2,8.8,15.6,7.7,Electric,Ganache,Local,235.7,55.8 %,9.9,14,5.0,2023-02-01,Excellent
Chocolate,314.8 g,207.5 g,125.4,2.0,207.7,220.6 °C,35.8,13.1,18.0,10.5,Convection,Ganache,Imported,301.4,53.9 %,6.6,3,4.1,2024-07-20,Average
Pineapple,294.9 g,194.0 g,131.7,2.0,179.2,210.1 °C,35.5,11.8,13.4,8.8,Electric,Whipped Cream,Imported,310.2,52.4 %,6.8,4,4.1,2024-07-15,Average
Chocolate,280.4 g,,164.9,1.0,228.9,224.8 °C,33.9,14.6,13.1,10.0,Gas,Whipped Cream,Mixed,435.7,59.4 %,8.2,6,3.5,2025-06-08,Good
Black Forest,276.7 g,249.0 g,119.4,3.0,203.3,196.2 °C,43.7,8.1,23.0,8.3,Electric,Buttercream,Local,297.1,58.1 %,7.2,9,2.7,2024-11-18,Good
Pineapple,290.3 g,179.5 g,130.6,2.0,153.3,205.7 °C,38.0,7.5,14.7,12.0,Electric,Whipped Cream,Imported,348.6,49.0 %,8.0,1,4.1,2023-01-12,Good
Strawberry,263.0 g,,121.8,3.0,204.3,188.1 °C,56.0,12.4,12.7,22.2,Electric,Ganache,Imported,244.8,59.4 %,5.9,9,4.4,2023-08-14,Average
